ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,ra_dec_corr,ra_parallax_corr,dec_parallax_corr
266.92403837008,0.4129,-26.78681258573,0.3736,4066823546680072832,0.4924,0.4135,0.4423,0.0632,-0.2745
266.92450908665,0.8985,-26.78595014228,0.7981,4066823550980106368,0.121,0.989,0.2592,-0.0854,-0.2363
266.9218817005,1.2171,-26.78509473007,1.0737,4066823550980133888,0.9287,1.4852,0.2773,0.4226,-0.426
266.92649485851,1.7854,-26.78358789166,1.5499,4066823551003251712,-1.6924,1.2564,0.5098,0.231,-0.0177
266.92330310976,0.5056,-26.78265950964,0.4621,4066823550980142464,0.691,0.5068,0.388,0.0906,-0.2321
266.92278774009,0.714,-26.78300570214,0.644,4066823550980144256,2.1407,0.7084,0.4754,0.0536,-0.2688
266.92283233102,0.709,-26.782777107,0.6314,4066823550980144128,2.5905,0.6631,-0.1139,-0.0343,-0.2101
266.92083531235,0.392,-26.78217414628,0.3461,4066823546697463936,0.3352,0.4157,0.3306,-0.0218,-0.1848
266.92094186435,0.5537,-26.78039949613,0.5383,4066823550980179200,-0.2102,0.682,0.2008,-0.0263,-0.4724
266.92319809882,0.3949,-26.78153626834,0.3589,4066823550980156032,0.5691,0.4003,0.3905,0.1576,-0.2919
266.92505149043,0.3879,-26.77868875164,0.3467,4066823550980165632,0.1999,0.3527,0.468,0.0766,-0.1736
266.92428625529,0.1313,-26.77929710066,0.119,4066823546680104448,0.5624,0.1268,0.5181,0.0456,-0.2431
266.92319271465,0.5501,-26.77995837853,0.5095,4066823550980168448,0.2995,0.6308,0.3434,-0.0194,-0.345
266.92220930596,1.8617,-26.77921688785,1.5827,4066823550980175744,1.7951,1.5837,-0.0924,-0.1182,0.1555
266.92285147683,0.2636,-26.77925539692,0.2451,4066823550980175872,1.0749,0.3036,0.3285,-0.138,-0.4068
266.97046954606,1.7845,-26.81528567631,1.8578,4066823585352632320,-3.2506,1.4748,-0.3797,-0.1423,0.4849
266.9648062816,0.661,-26.81478109874,0.617,4066823581044169344,2.0133,0.8058,0.0624,0.052,-0.3036
266.96413074435,0.5791,-26.8152977252,0.5396,4066823585339405312,0.0921,0.7079,0.0761,0.0589,-0.2965
266.96750449045,0.7597,-26.81246893553,0.7051,4066823585339405056,-0.8181,0.8912,0.1232,0.0102,-0.1624
266.96759622137,0.7143,-26.81201290979,0.6545,4066823581044172416,-0.9132,0.8674,0.0474,-0.0881,-0.2154
266.96862552096,0.4443,-26.81081406485,0.4297,4066823581044173568,0.5882,0.5866,-0.1066,0.1857,-0.3917
266.96975920143,0.5991,-26.81146801827,0.5825,4066823585339401856,-0.1015,0.7949,-0.0745,0.2016,-0.4098
266.9674026868,0.4608,-26.81102277414,0.4261,4066823581044172160,0.4477,0.4798,0.3332,0.171,-0.0014
266.9676917099,0.9788,-26.80888910358,0.9573,4066823581044172800,3.706,1.2426,-0.2014,0.2209,-0.4189
266.97097936055,1.0184,-26.81108389686,1.0127,4066823585339400832,1.183,1.5526,0.1292,0.1481,-0.4951
266.97210845531,0.5298,-26.81214584062,0.5142,4066823581044177152,0.1605,0.7273,-0.0465,0.1536,-0.4232
266.97273922445,0.5325,-26.80914600977,0.4932,4066823581044176384,1.1002,0.639,0.12,0.0416,-0.2784
266.97257761343,0.8413,-26.8097007603,0.8119,4066823585339400960,0.9258,1.1422,-0.0986,0.1518,-0.4244
266.97645044359,0.5109,-26.80966899183,0.4737,4066823581044182144,-0.0539,0.6253,0.1047,-0.0028,-0.3031
266.97746076707,0.6304,-26.80950990084,0.6125,4066823585339389056,-0.397,0.8623,-0.048,0.1818,-0.4389
266.97537392288,0.5208,-26.80815480883,0.488,4066823585339399424,0.4466,0.5967,0.0074,0.1072,-0.3428
266.97639261053,0.6088,-26.80664810583,0.565,4066823585339400320,0.6643,0.7241,0.0799,0.0553,-0.2845
266.97169620347,0.4847,-26.80916029442,0.4338,4066823585360932992,0.9363,0.5517,0.287,0.2621,-0.2124
266.97151498057,0.2669,-26.80760912486,0.2394,4066823585360934528,1.1946,0.254,0.4221,0.2505,0.0066
266.96963467738,1.435,-26.80913270819,1.3971,4066823585339409792,2.5365,1.8062,0.2016,0.2498,-0.4314
266.97059100601,0.6,-26.80676965909,0.5687,4066823585339415424,0.1729,0.7167,-0.0222,0.1344,-0.3697
266.97332822382,0.7804,-26.80770702161,0.7164,4066823581044178560,1.1602,0.8769,0.2017,0.1006,-0.1909
266.97397130316,1.8992,-26.80705416404,1.6729,4066823585352626560,-2.2415,1.4964,0.1519,0.2217,-0.1523
266.97201183982,0.5622,-26.80644109793,0.5211,4066823585339411840,0.309,0.6877,0.0564,0.035,-0.2971
266.97374344667,0.5172,-26.80533478892,0.4841,4066823585339410816,-0.247,0.6262,0.0412,0.0955,-0.3173
266.96508759755,1.3199,-26.81041863725,1.3896,4066823585362466176,2.2197,1.795,0.0632,0.1817,-0.5746
266.96503478505,0.0698,-26.80843113784,0.065,4066823581039741952,0.4578,0.077,-0.0088,0.0322,-0.2067
