ID_member,RAJ2000,DEJ2000,member_GDR2,member_DANCe,member_DANCe_Central,new_member,Full_region,Middle_region,Core_region,WD,EPIC,CWW,Comments,probability_DANCe_Central,ID_DANCe,e_Y,Y,g_sdss,i_sdss,e_r_sdss,e_Ks,H,e_i_sdss,z_sdss,e_z_sdss,Ks,e_g_sdss,u_sdss,e_H,e_u_sdss,e_RAJ2000,e_DEJ2000,e_J,r_sdss,J,probability_DANCe,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,duplicated_source,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,radial_velocity,radial_velocity_error,astrometric_excess_noise,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_variable_flag,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,a_g_val,ID_GDR2,probability_GDR2,pmra,pmdec
121,288.963741269,-16.2997385648,true,false,true,false,true,true,true,false,219614490,10,,0.766394857737134,4691714,99.0,99.0,99.0,99.0,99.0,0.05400000140070915,5.939,99.0,7.73199987411499,0.05000000074505806,5.7870001792907715,99.0,99.0,0.05682429,99.0,1.1863000392913818,1.0958000421524048,0.054999999701976776,99.0,6.447999954223633,0.512964071137054,4184125807991900928,288.96373844618,0.0394,-16.29985436141,0.038,3.1967,0.044,0.076,0.071,-0.3484,0.1222,0.2588,0,8.1237,5.0E-4,8.7348,0.0017,7.4158,0.0017,40.8,0.22,0.0,2006.745,640.013,652.657,NOT_AVAILABLE,288.963741269,1.1863,-16.2997385648,1.0958,0.152,10749914,0.999990860986205,-0.6290000081062317,-26.895000457763672
120,289.684405357,-15.8987792817,true,false,true,false,true,true,true,true,,,,2.60200739313425E-295,690941,0.05,20.39900016784668,19.56999969482422,19.888999938964844,0.05,99.0,99.0,0.05,20.104999542236328,0.09000000357627869,99.0,0.05,20.389999389648438,99.0,0.11900000274181366,17.54840087890625,14.308799743652344,99.0,19.7450008392334,99.0,9.00499898799465E-296,4183978061110910592,289.68440592017,0.6332,-15.89890303589,0.5595,3.5338,0.6206,1.131,0.922,0.1348,-0.2689,0.08,0,19.5315,0.0061,19.523,0.0479,19.3418,0.0706,,,0.435,177.705,22.684,15.379,NOT_AVAILABLE,289.684405357,17.5484,-15.8987792817,14.3088,,10657923,0.999309727481193,0.12600000202655792,-28.743000030517578
119,289.11068673,-16.2484522298,true,false,true,false,true,true,true,false,219633753,98,,0.913585837400085,3514255,0.05,12.395999908447266,13.619999885559082,12.666000366210938,99.0,0.0560000017285347,10.904,0.05000000074505806,12.539999961853027,0.05000000074505806,10.743000030517578,0.05000000074505806,15.387999534606934,0.05682429,0.1,3.147700071334839,2.756700038909912,0.0560000017285347,99.0,11.37600040435791,0.597573544619908,4183940127965076224,289.11067808989,0.1013,-16.24857186747,0.1104,3.4893,0.154,0.203,0.178,-0.4225,0.2367,0.2436,0,12.9673,0.0036,13.4717,0.0018,12.2562,0.0014,44.97,2.2,0.751,300.834,592.169,777.873,NOT_AVAILABLE,289.11068673,3.1477,-16.2484522298,2.7567,,10631884,0.861673989697756,-1.9270000457763672,-27.78700065612793
118,289.057213198,-16.3369018942,true,false,true,false,true,true,true,true,229228366,,,3.14679859637867E-295,792863,0.05,20.165000915527344,19.148000717163086,19.601999282836914,0.05,99.0,99.0,0.05,19.812999725341797,0.05,99.0,0.05,19.663999557495117,99.0,0.11699999868869781,8.888099670410156,8.66450023651123,0.11999999731779099,19.3700008392334,19.518999099731445,2.60136456571071E-295,4183937688413579648,289.05720601281,0.3007,-16.33701644266,0.3103,3.21,0.35,0.573,0.559,-0.2996,0.0918,0.5271,0,19.1055,0.0041,18.977,0.0456,18.9044,0.1196,,,0.0,262.097,23.823,9.081,NOT_AVAILABLE,289.057213198,8.8881,-16.3369018942,8.6645,,10630101,0.999915445652174,-1.6009999513626099,-26.604999542236328
117,289.046661166,-16.3634692856,true,false,true,false,true,true,true,false,219590752,75,,0.793540469296661,5651494,0.052000001072883606,12.39799976348877,13.265000343322754,99.0,99.0,0.06199999898672104,11.072,99.0,99.0,99.0,10.911999702453613,0.05000000074505806,14.484999656677246,0.07582216,0.1,1.0572999715805054,0.9811999797821045,0.0689999982714653,99.0,11.432999610900879,0.635992653070439,4183936795070404352,289.04665801967,0.0345,-16.36358497908,0.0339,3.3212,0.0427,0.068,0.063,-0.3703,0.1841,0.2998,0,12.736,3.0E-4,13.1767,0.0017,12.1436,0.001,39.71,4.79,0.0,3886.039,639.713,1063.72,NOT_AVAILABLE,289.046661166,1.0573,-16.3634692856,0.9812,0.193,10629463,0.995104910716376,-0.7009999752044678,-26.871000289916992
116,289.540766954,-16.2728696879,true,false,true,false,true,true,true,false,219624547,11,,0.767565756790072,5734727,99.0,99.0,99.0,99.0,99.0,0.052000001072883606,6.022,99.0,7.663000106811523,0.05000000074505806,5.834000110626221,99.0,11.628999710083008,0.060464866,0.10000000149011612,1.301200032234192,1.1871999502182007,0.054999999701976776,99.0,6.5370001792907715,0.474186268433006,4183930438518525184,289.54076137818,0.0429,-16.27298601989,0.0395,3.3677,0.0418,0.084,0.077,-0.3537,-0.0761,0.4604,0,8.2467,5.0E-4,8.8777,0.0016,7.528,0.0019,41.62,0.14,0.0,2148.744,692.655,581.518,NOT_AVAILABLE,289.540766954,1.3012,-16.2728696879,1.1872,0.304,10624824,0.999982810805214,-1.2430000305175781,-27.018999099731445
115,289.40343935,-16.3339880404,true,false,true,false,true,true,true,true,229228365,,,2.42896647343189E-295,1296028,0.05,19.81999969482422,18.809999465942383,19.378999710083008,0.05,99.0,99.0,0.05,19.59600067138672,0.05,99.0,0.05,19.336999893188477,99.0,0.11699999868869781,8.249300003051758,6.25,0.11100000143051147,19.115999221801758,19.46500015258789,3.25139333254892E-295,4183928888026931328,289.40343600913,0.2487,-16.33410565147,0.2967,2.9791,0.4505,0.532,0.403,-0.652,0.2729,0.1058,0,18.8035,0.0033,18.7376,0.0304,18.7259,0.0582,,,0.473,327.073,35.752,18.653,NOT_AVAILABLE,289.40343935,8.2493,-16.3339880404,6.25,,10623737,0.999974554474463,-0.7450000047683716,-27.31599998474121
114,289.649639764,-16.3583331337,true,false,true,false,true,true,true,true,,,,1.70480985490953E-296,1216160,0.05000000074505806,19.30900001525879,19.75200080871582,20.014999389648438,0.05,99.0,99.0,0.05,20.027000427246094,0.05,99.0,0.05,20.525999069213867,99.0,0.11800000071525574,12.775699615478516,12.707599639892578,99.0,19.826000213623047,99.0,1.6178976385315E-297,4183926006112672768,289.6496323071,0.4024,-16.3584508414,0.3887,2.8496,0.4516,0.824,0.819,-0.3211,0.2243,0.3379,0,19.6289,0.0064,19.7309,0.0417,19.4586,0.0814,,,0.0,170.524,26.032,13.337,NOT_AVAILABLE,289.649639764,12.7757,-16.3583331337,12.7076,,10621705,0.99976090764764,-1.6619999408721924,-27.339000701904297
113,289.248919754,-16.5224466517,true,false,true,false,true,true,true,true,229228338,,,3.63735053598629E-295,1081115,0.05,19.802000045776367,18.66699981689453,19.25200080871582,0.05,99.0,99.0,0.05,19.493999481201172,0.05,99.0,0.05,18.823999404907227,99.0,0.10199999809265137,6.467700004577637,5.533299922943115,0.10700000077486038,18.96500015258789,19.215999603271484,6.3485448013117E-295,4183919237232621056,289.24891760164,0.2334,-16.52256351929,0.2352,2.8745,0.2923,0.417,0.357,-0.3718,0.0581,0.3226,0,18.6881,0.0035,18.6373,0.0304,18.633,0.0488,,,0.0,309.175,35.755,22.271,NOT_AVAILABLE,289.248919754,6.4677,-16.5224466517,5.5333,,10616909,0.999959408650311,-0.4790000021457672,-27.14299964904785
112,289.742589802,-16.8059720653,true,false,true,false,true,true,true,true,,,,1.40389411411004E-295,1251630,0.05,20.274999618530273,19.540000915527344,19.85700035095215,0.05,99.0,99.0,0.05,20.072999954223633,0.05,99.0,0.05,20.222999572753906,99.0,0.11800000071525574,12.087400436401367,11.159799575805664,99.0,19.639999389648438,99.0,5.3404912218753E-296,4183847562828165248,289.74258121098,0.4034,-16.80608846452,0.3775,3.5436,0.5304,0.779,0.72,-0.4401,0.1145,0.4471,0,19.4149,0.0053,19.4712,0.0406,19.4319,0.1171,,,0.795,203.285,26.727,9.273,NOT_AVAILABLE,289.742589802,12.0874,-16.8059720653,11.1598,,10570119,0.999937369276337,-1.909999966621399,-27.03499984741211
