ID,RAJ2000,DEJ2000,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,radial_velocity,radial_velocity_error,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,phot_bp_n_obs,phot_rp_n_obs
21,288.51137953,-15.9015944267,4184200643491196928,288.51137977374,0.0553,-15.90170814378,0.0509,3.2145,0.068,0.055,0.106,-26.412,0.086,0.2146,0.0224,-0.2113,-0.4146,-0.2412,-0.2271,-0.4155,-0.5133,0.1032,0.2073,8.0569,6.0E-4,8.7025,0.0032,7.3203,0.0029,54.98,5.14,288.51137953,1.648,-15.9015944267,1.3296,649.79,168,1.244,17,19
22,289.09182842,-15.7711058346,4184182737768311296,289.09182422753,0.0353,-15.77121781875,0.0342,3.0851,0.0399,-0.937,0.065,-26.009,0.057,0.3659,0.0102,-0.3094,-0.4032,-0.3425,-0.23,-0.434,-0.3109,-0.0176,0.2362,12.5593,2.0E-4,12.9862,0.0013,11.9844,0.0011,42.18,2.03,289.09182842,1.014,-15.7711058346,0.8868,180.29,165,1.218,18,18
23,288.816830077,-16.0332095286,4184145285660713216,288.8168273116,0.1559,-16.03332579573,0.1565,3.1976,0.1796,-0.617,0.296,-27.004,0.273,0.3842,0.0272,-0.3039,-0.4023,-0.2734,-0.2612,-0.4132,-0.3759,0.0698,0.4117,17.8313,0.0018,18.9918,0.1125,16.5473,0.0182,,,288.816830077,4.5959,-16.0332095286,4.2286,172.67,130,1.642,7,6
24,289.15109385,-16.1268380105,4184134810228514816,289.15109090251,0.0853,-16.12695682395,0.086,3.2586,0.057,-0.658,0.159,-27.595,0.157,0.8542,0.5225,-0.8385,-0.8073,0.3484,-0.7809,-0.8515,-0.6176,-0.3886,0.8465,10.7297,0.0013,10.6327,0.0707,9.9106,0.0608,,,289.15109385,2.465,-16.1268380105,2.4405,168.4,120,1.708,11,12
25,289.058948925,-16.1195303194,4184129862426612096,289.05894641003,0.0521,-16.11964500768,0.0499,3.1793,0.0615,-0.561,0.101,-26.637,0.089,0.2488,0.0045,-0.2621,-0.3064,-0.3185,-0.1426,-0.4207,-0.4035,0.1497,0.2504,10.8972,0.0028,11.2011,0.0046,10.3183,0.0042,31.16,7.84,289.058948925,1.5639,-16.1195303194,1.3862,505.37,156,1.28,18,19
26,290.021985062,-15.5098087732,4184088523369348608,290.02197994398,0.0333,-15.5099200016,0.0321,3.1578,0.0376,-1.146,0.063,-25.834,0.057,0.391,-0.0376,-0.3369,-0.3099,-0.316,-0.1589,-0.4236,-0.3498,0.0627,0.3326,11.8761,2.0E-4,12.2499,0.0015,11.3497,9.0E-4,43.11,0.85,290.021985062,0.9843,-15.5098087732,0.8892,159.86,167,1.211,17,17
27,290.021753461,-15.5933482241,4184083579871659904,290.02174683157,0.0339,-15.59346695869,0.0326,3.2967,0.0381,-1.483,0.065,-27.577,0.059,0.3918,-0.0255,-0.3211,-0.3246,-0.3111,-0.1788,-0.4159,-0.3336,0.0473,0.3297,10.8108,3.0E-4,11.1451,0.0015,10.3307,8.0E-4,40.89,0.61,290.021753461,1.0036,-15.5933482241,0.9099,228.19,166,1.202,19,18
28,290.551416155,-15.8887560418,4184002319091491968,290.55140922801,0.021,-15.88886992672,0.0189,3.2088,0.0235,-1.547,0.041,-26.451,0.037,0.1906,-0.0984,-0.2308,-0.2674,-0.1995,-0.1668,-0.3905,-0.3481,0.1402,0.2141,13.5853,5.0E-4,14.2687,0.0022,12.8038,0.002,,,290.551416155,0.6307,-15.8887560418,0.5709,85.51,150,1.266,17,16
29,289.964764214,-16.0662392292,4183960808219724416,289.96475848428,0.0497,-16.06635433299,0.0428,3.151,0.0601,-1.279,0.123,-26.734,0.088,0.1717,-0.0289,-0.1692,-0.261,-0.4306,-0.3773,-0.0385,0.2871,-0.3779,-0.3653,10.1652,7.0E-4,10.5349,5.0E-4,9.6621,0.0011,,,289.964764214,1.9054,-16.0662392292,1.3669,139.87,122,1.199,14,14
30,289.349343101,-16.0734300125,4183949198935967232,289.3493406942,0.0397,-16.07354390629,0.0387,3.2373,0.0489,-0.537,0.077,-26.453,0.065,0.2264,-0.0354,-0.357,-0.1954,-0.4827,0.0267,-0.4095,-0.3751,0.1641,0.1816,7.181,3.0E-4,7.9327,0.0016,6.3816,0.0022,38.51,0.17,289.349343101,1.1984,-16.0734300125,1.0085,212.11,167,1.256,21,21
